Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,figura.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
21.png,0,0,26,26,20,11.896145999984583,,,,,,,,,,,,,11.869512999983272,11.896145999984583,11.896145999984583,12.119084399979329,space,0.2164993000042159,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,27,27,34,12.134805999987293,,,,,,,,,,,,,12.119480999972438,12.134805999987293,12.134805999987293,12.368510000000242,space,0.2294603000045754,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
17.png,0,0,28,28,16,12.396155499998713,,,,,,,,,,,,,12.3688686999958,12.396155499998713,12.396155499998713,12.551953499991214,space,0.15336110000498593,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
15.png,0,0,29,29,14,12.579474300000584,,,,,,,,,,,,,12.552312899992103,12.579474300000584,12.579474300000584,12.735181199997896,space,0.14022729999851435,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
8.png,0,0,30,30,7,12.762641399982385,,,,,,,,,,,,,12.735532499995315,12.762641399982385,12.762641399982385,12.902335999999195,space,0.12295499999891035,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
10.png,0,0,31,31,9,12.929443399974843,,,,,,,,,,,,,12.902774999995017,12.929443399974843,12.929443399974843,13.085354599985294,space,0.14522629999555647,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,32,32,1,13.101344199996674,,,,,,,,,,,,,13.085701699979836,13.101344199996674,13.101344199996674,13.285489199974108,space,0.1746069999935571,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
14.png,0,0,33,33,13,13.312884899991332,,,,,,,,,,,,,13.28585529999691,13.312884899991332,13.312884899991332,13.785098299995298,space,0.46090629999525845,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
3.png,0,0,34,34,2,13.812694699998247,,,,,,,,,,,,,13.785450199997285,13.812694699998247,13.812694699998247,14.800878999987617,None,,,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,35,35,37,14.818026099994313,,,,,,,,,,,,,14.801163699972676,14.818026099994313,14.818026099994313,15.152405799977714,space,0.32575089999591,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
4.png,0,0,36,36,3,15.179393899976276,,,,,,,,,,,,,15.152809399995022,15.179393899976276,15.179393899976276,15.984991799981799,space,0.7943542000139132,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
11.png,0,0,37,37,10,16.0127758999879,,,,,,,,,,,,,15.985382099985145,16.0127758999879,16.0127758999879,16.468424199993024,space,0.44027989997994155,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
17.png,0,1,0,38,16,16.484344399999827,,,,,,,,,,,,,16.468792799976654,16.484344399999827,16.484344399999827,16.651883699989412,space,0.15108360000886023,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
9.png,0,1,1,39,8,16.667945299996063,,,,,,,,,,,,,16.652233000000706,16.667945299996063,16.667945299996063,16.835074499977054,space,0.16049329997622408,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
7.png,0,1,2,40,6,16.851288599980762,,,,,,,,,,,,,16.83542569997371,16.851288599980762,16.851288599980762,16.98502909997478,space,0.12133339999127202,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
15.png,0,1,3,41,14,17.001098499982618,,,,,,,,,,,,,16.985382899991237,17.001098499982618,17.001098499982618,17.168311099987477,space,0.15770009998232126,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,4,42,26,17.18486949999351,,,,,,,,,,,,,17.168670399987604,17.18486949999351,17.18486949999351,17.335737699992023,space,0.14921010000398383,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
11.png,0,1,5,43,10,17.36243719997583,,,,,,,,,,,,,17.336243399971863,17.36243719997583,17.36243719997583,17.538841999979923,space,0.16050990001531318,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,6,44,25,17.563462599995546,,,,,,,,,,,,,17.539253299997654,17.563462599995546,17.563462599995546,17.701940200000536,space,0.13374950000434183,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
5.png,0,1,7,45,4,17.71770269999979,,,,,,,,,,,,,17.70229429999017,17.71770269999979,17.71770269999979,17.88463979997323,space,0.15016350001678802,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,8,46,34,17.90110229997663,,,,,,,,,,,,,17.88518519999343,17.90110229997663,17.90110229997663,18.06805049997638,space,0.15246510002180003,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
14.png,0,1,9,47,13,18.084880999987945,,,,,,,,,,,,,18.06840259997989,18.084880999987945,18.084880999987945,18.23493769997731,space,0.1335957999981474,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,10,48,35,18.25117579998914,,,,,,,,,,,,,18.23530179998488,18.25117579998914,18.25117579998914,18.41793189998134,space,0.1541360999981407,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,11,49,24,18.43445899998187,,,,,,,,,,,,,18.41828529999475,18.43445899998187,18.43445899998187,18.58443879999686,space,0.14338150000548922,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,12,50,0,18.601157599972794,,,,,,,,,,,,,18.584796699986327,18.601157599972794,18.601157599972794,18.753297899995232,space,0.14101449999725446,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,13,51,36,18.780132899992168,,,,,,,,,,,,,18.75364459998673,18.780132899992168,18.780132899992168,18.95143429999007,space,0.16173150000395253,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
13.png,0,1,14,52,12,18.967686099989805,,,,,,,,,,,,,18.951775599998655,18.967686099989805,18.967686099989805,19.13493619998917,space,0.1534500000125263,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
10.png,0,1,15,53,9,19.151179299980868,,,,,,,,,,,,,19.135304899973562,19.151179299980868,19.151179299980868,19.317791199981002,space,0.15683250001166016,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
6.png,0,1,16,54,5,19.334112899989123,,,,,,,,,,,,,19.318137499998556,19.334112899989123,19.334112899989123,19.53578719997313,space,0.18881630001123995,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
23.png,0,1,17,55,22,19.552041899994947,,,,,,,,,,,,,19.536131699976977,19.552041899994947,19.552041899994947,19.718004700000165,space,0.1532817000115756,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,18,56,37,19.73415340000065,,,,,,,,,,,,,19.718363299994962,19.73415340000065,19.73415340000065,19.9183588999731,space,0.17181680002249777,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,19,57,32,19.93437279999489,,,,,,,,,,,,,19.91875899999286,19.93437279999489,19.93437279999489,20.101797899988014,space,0.16070929999114014,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
4.png,0,1,20,58,3,20.117812899989076,,,,,,,,,,,,,20.102162499999395,20.117812899989076,20.117812899989076,20.31864419998601,space,0.18829739998909645,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
19.png,0,1,21,59,18,20.334150899987435,,,,,,,,,,,,,20.319037899986142,20.334150899987435,20.334150899987435,20.50120169998263,space,0.15357749999384396,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
12.png,0,1,22,60,11,20.517748199985363,,,,,,,,,,,,,20.50156359997345,20.517748199985363,20.517748199985363,20.6857892999833,space,0.1669687999819871,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,23,61,29,20.70112629997311,,,,,,,,,,,,,20.686136099975556,20.70112629997311,20.70112629997311,20.885075300000608,space,0.17929369999910705,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
21.png,0,1,24,62,20,20.90082879998954,,,,,,,,,,,,,20.885485899983905,20.90082879998954,20.90082879998954,21.085151099978248,space,0.1824450000131037,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,25,63,28,21.101030499994522,,,,,,,,,,,,,21.085609099973226,21.101030499994522,21.101030499994522,21.301445699995384,space,0.1876689000055194,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,1,26,64,1,21.317772699985653,,,,,,,,,,,,,21.30179109997698,21.317772699985653,21.317772699985653,21.485385599982692,space,0.15897809999296442,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,1,27,65,30,21.512288300000364,,,,,,,,,,,,,21.485802999988664,21.512288300000364,21.512288300000364,21.668846999993548,space,0.1510120999882929,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
