stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,isi.started,polygon.started,polygon.stopped,isi.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
rojo,red,2,0,40,1,33.42231610001181,,,,,,,,,,,,,,,,33.406219199998304,33.42231610001181,33.42231610001181,33.78952560000471,right,0.35891560002346523,None,33.78975610001362,33.80581280001206,34.12240170000587,34.10638919999474,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,2,1,41,6,34.12240170000587,,,,,,,,,,,,,,,,34.10661690001143,34.12240170000587,34.12240170000587,34.45620159999817,left,0.32811640002182685,None,34.4564486000163,34.472254799999064,34.78894900000887,34.77282370001194,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,2,2,42,5,34.78894900000887,,,,,,,,,,,,,,,,34.773081399995135,34.78894900000887,34.78894900000887,35.22325880001881,left,0.42077289998997003,None,35.223488399991766,35.23913060000632,35.555818199994974,35.53938420000486,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,2,3,43,18,35.555818199994974,,,,,,,,,,,,,,,,35.539614200009964,35.555818199994974,35.555818199994974,35.922902799997246,right,0.3537951000034809,None,35.92320190000464,35.93903909999062,36.239127900014864,36.22381680001854,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,2,4,44,4,36.239127900014864,,,,,,,,,,,,,,,,36.22404770000139,36.239127900014864,36.239127900014864,36.57329190001474,right,0.3222867000149563,None,36.57357539999066,36.58902529999614,36.9057385000051,36.88927780001541,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,2,5,45,15,36.9057385000051,,,,,,,,,,,,,,,,36.88950140000088,36.9057385000051,36.9057385000051,37.273102100007236,right,0.3599349999858532,None,37.273327300004894,37.28866980000748,37.605677200015634,37.58935739999288,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,2,6,46,3,37.605677200015634,,,,,,,,,,,,,,,,37.58957320000627,37.605677200015634,37.605677200015634,37.923299100017175,right,0.31568080000579357,None,37.92362129999674,37.939085799996974,38.25570790001075,38.239300899993395,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,2,7,47,19,38.25570790001075,,,,,,,,,,,,,,,,38.23951600000146,38.25570790001075,38.25570790001075,38.623014500015415,right,0.35278260000632145,None,38.62324980000267,38.638826900016284,38.9553084000072,38.93939849999151,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,2,8,48,0,38.9553084000072,,,,,,,,,,,,,,,,38.9396257000044,38.9553084000072,38.9553084000072,39.28999049999402,right,0.332023199996911,None,39.29032900001039,39.30562790000113,39.62232130000484,39.60594890001812,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,2,9,49,14,39.62232130000484,,,,,,,,,,,,,,,,39.60616690001916,39.62232130000484,39.62232130000484,40.20609359999071,left,0.5710886000015307,None,40.2063257000118,40.22226030001184,40.538861100008944,40.52264519999153,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,2,10,50,12,40.538861100008944,,,,,,,,,,,,,,,,40.522953000006964,40.538861100008944,40.538861100008944,40.80636010001763,left,0.2642035000026226,None,40.8066087999905,40.82204630001797,41.138690799998585,41.12257269999827,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,2,11,51,13,41.138690799998585,,,,,,,,,,,,,,,,41.122797599993646,41.138690799998585,41.138690799998585,41.406044200004544,left,0.2556291999935638,None,41.40627390000736,41.42214080001577,41.73857499999576,41.72244660000433,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,2,12,52,11,41.73857499999576,,,,,,,,,,,,,,,,41.722658899991075,41.73857499999576,41.73857499999576,42.07298590001301,left,0.33115370001178235,None,42.07321040000534,42.08860370001639,42.40546259999974,42.38877930000308,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,2,13,53,8,42.40546259999974,,,,,,,,,,,,,,,,42.389000700000906,42.40546259999974,42.40546259999974,42.789234800002305,left,0.3673753999755718,None,42.78946980001638,42.80537660000846,43.12199220000184,43.10534209999605,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,2,14,54,16,43.12199220000184,,,,,,,,,,,,,,,,43.105559599993285,43.12199220000184,43.12199220000184,43.489239200018346,right,0.3626971999765374,None,43.48947410000255,43.505401000002166,43.82198199999402,43.805487500008894,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,2,15,55,9,43.82198199999402,,,,,,,,,,,,,,,,43.80570640001679,43.82198199999402,43.82198199999402,44.122426799993264,right,0.29031040001427755,None,44.12266140000429,44.13859300001059,44.455370500014396,44.4390701999946,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,2,16,56,2,44.455370500014396,,,,,,,,,,,,,,,,44.43928399999277,44.455370500014396,44.455370500014396,44.740317899995716,right,0.2829601999837905,None,44.7405684000114,44.75507839999045,45.072031899995636,45.05573930000537,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,2,17,57,7,45.072031899995636,,,,,,,,,,,,,,,,45.05596980001428,45.072031899995636,45.072031899995636,45.25607269999455,right,0.1776106999896001,None,45.25636359999771,45.27204179999535,45.58872970001539,45.57250880001811,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
,,,,,,45.58872970001539,,,,,,,,,,,,,,,,45.57273820001865,45.58872970001539,45.58872970001539,,,,,,,,,,,,,,,
