stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,circles_routine.started,click.started,word.started,greencircle.started,redcircle.started,mouse.started,circles_routine.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
verde,green,1,15,35,14,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,1,16,36,19,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,green,1,17,37,11,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,1,18,38,8,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,1,19,39,7,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,2,0,40,19,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,2,1,41,3,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,green,2,2,42,12,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,2,3,43,2,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,2,4,44,1,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,green,2,5,45,13,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,2,6,46,6,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,green,2,7,47,10,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,2,8,48,15,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,2,9,49,5,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,2,10,50,17,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,2,11,51,16,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,green,2,12,52,14,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,2,13,53,18,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,2,14,54,4,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,2,15,55,0,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,2,16,56,8,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,2,17,57,9,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,2,18,58,7,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,green,2,19,59,11,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
,,,,,,,,,,,,,,,,,,,,,,2.9289046000048984,2.9351318000117317,2.9351318000117317,2.9351318000117317,2.9351318000117317,0.01054759998805821,7.607081399997696,[-0.5270833333333333],[0.025925925925925925],[1],[0],[0],[4.677715599973453],['greencircle'],1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
